ID_DEPARTAMENTO,DEPARTAMENTO,ID_MUNICIPIO,MUNICIPIO,Latitud,Longitud,LOCALIDAD,Solar_radiation_promedio,Wind_promedio,consumo_energia_promedio,tipo_cultivo,Desecho_Ton_promedio,Solar_norm,Wind_norm,Desecho_norm,Indice_Solar,Indice_Eolico,Indice_Biomasa,Energia_Prioritaria
27,CHOCÓ,27077,BAJO BAUDÓ,5.014,-77.221,ORPUA (BAJO BAUDÓ - CHOCÓ),16035.09961,1.141666651,995.47,PALMA DE ACEITE,972.172549366951,0.8155523906385649,0.2604562777562204,1.0,811.8579383089722,259.2764108179847,995.47,Biomasa
27,CHOCÓ,27077,BAJO BAUDÓ,5.014,-77.221,PILIZA (BAJO BAUDÓ (PIZARRO) - CHOCÓ),16035.09961,1.141666651,9562.12,PALMA DE ACEITE,972.172549366951,0.8155523906385649,0.2604562777562204,1.0,7798.409825572835,2490.5141826583103,9562.12,Biomasa
27,CHOCÓ,27077,BAJO BAUDÓ,5.014,-77.221,PILIZA - BELLAVISTA - VILLA LUZ (BAJO BAUDÓ - CHOCÓ),16035.09961,1.141666651,4449.75,PALMA DE ACEITE,972.172549366951,0.8155523906385649,0.2604562777562204,1.0,3629.004250243954,1158.9653219457416,4449.75,Biomasa
27,CHOCÓ,27077,BAJO BAUDÓ,5.014,-77.221,PIZARRO (BAJO BAUDÓ (PIZARRO) - CHOCÓ),16035.09961,1.141666651,290480.31,PALMA DE ACEITE,972.172549366951,0.8155523906385649,0.2604562777562204,1.0,236901.91125393144,75657.420304073,290480.31,Biomasa
27,CHOCÓ,27077,BAJO BAUDÓ,5.014,-77.221,PIZARRO (BAJO BAUDÓ - CHOCÓ),16035.09961,1.141666651,301347.59,PALMA DE ACEITE,972.172549366951,0.8155523906385649,0.2604562777562204,1.0,245764.7474376701,78487.87160220763,301347.59,Biomasa
27,CHOCÓ,27077,BAJO BAUDÓ,5.014,-77.221,SIVIRU (BAJO BAUDÓ - CHOCÓ),16035.09961,1.141666651,7982.79,PALMA DE ACEITE,972.172549366951,0.8155523906385649,0.2604562777562204,1.0,6510.383468465629,2079.1677695095786,7982.79,Biomasa
27,CHOCÓ,27077,BAJO BAUDÓ,5.014,-77.221,TERRON (BAJO BAUDÓ - CHOCÓ),16035.09961,1.141666651,5689.69,PALMA DE ACEITE,972.172549366951,0.8155523906385649,0.2604562777562204,1.0,4640.240281492336,1481.9154789867894,5689.69,Biomasa
27,CHOCÓ,27077,BAJO BAUDÓ,5.014,-77.221,VIRUDO,16035.09961,1.141666651,7551.0,PALMA DE ACEITE,972.172549366951,0.8155523906385649,0.2604562777562204,1.0,6158.236101711804,1966.70535333722,7551.0,Biomasa
27,CHOCÓ,27077,BAJO BAUDÓ,5.014,-77.221,VIRUDO (BAJO BAUDÓ - CHOCÓ),16035.09961,1.141666651,8530.6,PALMA DE ACEITE,972.172549366951,0.8155523906385649,0.2604562777562204,1.0,6957.151223581342,2221.8483230272136,8530.6,Biomasa
27,CHOCÓ,27099,BOJAYÁ,6.478,-77.103,BELLAVISTA (BOJAYÁ (BELLAVISTA) - CHOCÓ),16965.27539,1.075000048,115162.17,PALMA DE ACEITE,972.172549366951,0.8628615498919318,0.24524716636383403,1.0,99369.00849511812,28243.195864810135,115162.17,Biomasa
27,CHOCÓ,27099,BOJAYÁ,6.478,-77.103,BELLAVISTA (BOJAYÁ - CHOCÓ),16965.27539,1.075000048,129984.5,PALMA DE ACEITE,972.172549366951,0.8628615498919318,0.24524716636383403,1.0,112158.6271319278,31878.330296219785,129984.5,Biomasa
27,CHOCÓ,27099,BOJAYÁ,6.478,-77.103,LA LOMA DE BOJAYÁ (BOJAYÁ (BELLAVISTA) - CHOCÓ),16965.27539,1.075000048,17095.74,PALMA DE ACEITE,972.172549366951,0.8628615498919318,0.24524716636383403,1.0,14751.256712949495,4192.681791892853,17095.74,Biomasa
27,CHOCÓ,27099,BOJAYÁ,6.478,-77.103,LA LOMA DE BOJAYA (BOJAYÁ - CHOCÓ),16965.27539,1.075000048,16062.0,PALMA DE ACEITE,972.172549366951,0.8628615498919318,0.24524716636383403,1.0,13859.282214364208,3939.1599861359023,16062.0,Biomasa
27,CHOCÓ,27099,BOJAYÁ,6.478,-77.103,NAPIPÍ (BOJAYÁ (BELLAVISTA) - CHOCÓ),16965.27539,1.075000048,12645.69,PALMA DE ACEITE,972.172549366951,0.8628615498919318,0.24524716636383403,1.0,10911.479672852904,3101.3196392154728,12645.69,Biomasa
27,CHOCÓ,27099,BOJAYÁ,6.478,-77.103,NAPIPI (BOJAYÁ - CHOCÓ),16965.27539,1.075000048,14850.38,PALMA DE ACEITE,972.172549366951,0.8628615498919318,0.24524716636383403,1.0,12813.821903284144,3642.0136144261533,14850.38,Biomasa
27,CHOCÓ,27099,BOJAYÁ,6.478,-77.103,PIEDRA CANDELA (BOJAYÁ - CHOCÓ),16965.27539,1.075000048,10689.82,PALMA DE ACEITE,972.172549366951,0.8628615498919318,0.24524716636383403,1.0,9223.834653265769,2621.6480639394404,10689.82,Biomasa
27,CHOCÓ,27099,BOJAYÁ,6.478,-77.103,POGUE (BOJAYÁ - CHOCÓ),16965.27539,1.075000048,0.0,PALMA DE ACEITE,972.172549366951,0.8628615498919318,0.24524716636383403,1.0,0.0,0.0,0.0,Solar
27,CHOCÓ,27099,BOJAYÁ,6.478,-77.103,PUERTO CONTO (BOJAYÁ (BELLAVISTA) - CHOCO),16965.27539,1.075000048,12381.1,PALMA DE ACEITE,972.172549366951,0.8628615498919318,0.24524716636383403,1.0,10683.175135366997,3036.4296914672655,12381.1,Biomasa
27,CHOCÓ,27099,BOJAYÁ,6.478,-77.103,PUERTO CONTO (BOJAYÁ - CHOCÓ),16965.27539,1.075000048,16599.5,PALMA DE ACEITE,972.172549366951,0.8628615498919318,0.24524716636383403,1.0,14323.07029743112,4070.980338056463,16599.5,Biomasa
27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,4.249,-76.966,CUCURRUPÍ (EL LITORAL DEL SAN JUAN - CHOCÓ),16107.74121,0.925000012,3655.77,PALMA DE ACEITE,972.172549366951,0.8192469751426028,0.21102662483742746,1.0,2994.978514317073,771.4648042819222,3655.77,Biomasa
27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,4.249,-76.966,PAPAYO (EL LITORAL DEL SAN JUAN - CHOCÓ),16107.74121,0.925000012,5036.71,PALMA DE ACEITE,972.172549366951,0.8192469751426028,0.21102662483742746,1.0,4126.309432170499,1062.8799115849192,5036.71,Biomasa
27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,4.249,-76.966,SAN BERNARDO BURUJON (EL LITORAL DEL SAN JUAN - CHOCÓ),16107.74121,0.925000012,5877.0,PALMA DE ACEITE,972.172549366951,0.8192469751426028,0.21102662483742746,1.0,4814.714472913077,1240.203474169561,5877.0,Biomasa
27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,4.249,-76.966,SANTA GENOVEVA DE DOCORDO (EL LITORAL DEL SAN JUAN - CHOCÓ),16107.74121,0.925000012,105751.31,PALMA DE ACEITE,972.172549366951,0.8192469751426028,0.21102662483742746,1.0,86636.44083486768,22316.34202143649,105751.31,Biomasa
27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,4.249,-76.966,TOGOROMA PLAYA (EL LITORAL DEL SAN JUAN - CHOCO),16107.74121,0.925000012,1186.22,PALMA DE ACEITE,972.172549366951,0.8192469751426028,0.21102662483742746,1.0,971.8071468536583,250.3240029146532,1186.22,Biomasa
27,CHOCÓ,27361,ISTMINA,4.741,-76.872,PANAMACITO,16456.98242,0.766666651,2059.0,PALMA DE ACEITE,972.172549366951,0.8370095404307772,0.17490494447252386,1.0,1723.4026437469704,360.12928066892664,2059.0,Biomasa
27,CHOCÓ,27361,ISTMINA,4.741,-76.872,PANAMACITO (ISTMINA - CHOCÓ),16456.98242,0.766666651,2814.0,PALMA DE ACEITE,972.172549366951,0.8370095404307772,0.17490494447252386,1.0,2355.3448467722073,492.1825137456821,2814.0,Biomasa
